year,source_decade,source_decade_default,county_fips,county_fips_for_crosswalk,state_fips,state,county_name,source_scope,bridge_exception_applied,exception_issue_class,exception_reason,twoparty_votes,has_positive_crosswalk_weight,raw_weight_undefined,fallback_used,source_two_party_votes_prejoin,vote_share_of_year,source_issue_class
1952,1970,1970,13239,13239,13,GA,QUITMAN,adh_mainland_eligible,FALSE,NA,NA,425,FALSE,TRUE,TRUE,60656890,7.006623649844231e-6,pre_1972_diagnostic_only
1952,1970,1970,13307,13307,13,GA,WEBSTER,adh_mainland_eligible,FALSE,NA,NA,473,FALSE,TRUE,TRUE,60656890,7.797959967944285e-6,pre_1972_diagnostic_only
1952,1970,1970,20179,20179,20,KS,SHERIDAN,adh_mainland_eligible,FALSE,NA,NA,2136,FALSE,TRUE,TRUE,60656890,3.521446615545241e-5,pre_1972_diagnostic_only
1952,1970,1970,32025,32025,32,NV,ORMSBY,adh_mainland_eligible,FALSE,NA,NA,2232,FALSE,FALSE,FALSE,60656890,3.679713879165252e-5,pre_1972_diagnostic_only
1952,1970,1970,36041,36041,36,NY,HAMILTON,adh_mainland_eligible,FALSE,NA,NA,3128,FALSE,TRUE,TRUE,60656890,5.1568750062853534e-5,pre_1972_diagnostic_only
1952,1970,1970,38013,38013,38,ND,BURKE,adh_mainland_eligible,FALSE,NA,NA,2797,FALSE,TRUE,TRUE,60656890,4.611182670262191e-5,pre_1972_diagnostic_only
1952,1970,1970,38039,38039,38,ND,GRIGGS,adh_mainland_eligible,FALSE,NA,NA,2599,FALSE,TRUE,TRUE,60656890,4.284756439045919e-5,pre_1972_diagnostic_only
1952,1970,1970,38041,38041,38,ND,HETTINGER,adh_mainland_eligible,FALSE,NA,NA,2627,FALSE,TRUE,TRUE,60656890,4.330917724268422e-5,pre_1972_diagnostic_only
1952,1970,1970,46001,46001,46,SD,ARMSTRONG,adh_mainland_eligible,FALSE,NA,NA,11,FALSE,FALSE,FALSE,60656890,1.8134790623126243e-7,pre_1972_diagnostic_only
1952,1970,1970,46031,46031,46,SD,CORSON,adh_mainland_eligible,FALSE,NA,NA,2546,FALSE,TRUE,TRUE,60656890,4.197379720589038e-5,pre_1972_diagnostic_only
1952,1970,1970,46071,46071,46,SD,JACKSON,adh_mainland_eligible,FALSE,NA,NA,861,FALSE,TRUE,TRUE,60656890,1.4194595205919723e-5,pre_1972_diagnostic_only
1952,1970,1970,46131,46131,46,SD,WASHABAUGH,adh_mainland_eligible,FALSE,NA,NA,466,FALSE,TRUE,TRUE,60656890,7.682556754888027e-6,pre_1972_diagnostic_only
1952,1970,1970,46137,46137,46,SD,ZIEBACH,adh_mainland_eligible,FALSE,NA,NA,1151,FALSE,TRUE,TRUE,60656890,1.8975585461107553e-5,pre_1972_diagnostic_only
1952,1970,1970,51129,51129,51,VA,NORFOLK,adh_mainland_eligible,FALSE,NA,NA,12380,FALSE,FALSE,FALSE,60656890,2.04098825376639e-4,pre_1972_diagnostic_only
1952,1970,1970,51151,51151,51,VA,PRINCESS ANNE,adh_mainland_eligible,FALSE,NA,NA,6217,FALSE,FALSE,FALSE,60656890,1.0249453936725077e-4,pre_1972_diagnostic_only
1952,1970,1970,51785,51785,51,VA,SOUTH NORFOLK CITY,adh_mainland_eligible,FALSE,NA,NA,2880,FALSE,FALSE,FALSE,60656890,4.7480179086003256e-5,pre_1972_diagnostic_only
1956,1970,1970,13239,13239,13,GA,QUITMAN,adh_mainland_eligible,FALSE,NA,NA,386,FALSE,TRUE,TRUE,61618950,6.264306678383842e-6,pre_1972_diagnostic_only
