sample,spec,se_type,status,error_message,min_eigenvalue,max_eigenvalue,n_negative_eigenvalues,eigenvalue_ratio_abs_min_to_max,repair_required,vcov_repaired
main_1972_start,minimal_full_panel,heteroskedastic,ok,NA,2.2329311618583816e-6,6.809165264381949e-5,0,0.032793023449417764,FALSE,FALSE
main_1972_start,minimal_full_panel,cluster_cz,ok,NA,8.852024905057847e-8,1.565217461788917e-4,0,5.655460101333587e-4,FALSE,FALSE
main_1972_start,minimal_full_panel,cluster_state,ok,NA,6.303709336857014e-8,2.732664622320187e-4,0,2.3067994825888322e-4,FALSE,FALSE
main_1972_start,minimal_full_panel,cluster_cz_year,repair_required,Unrepaired VCOV is not positive semidefinite.,-4.0303844540216904e-5,1.3680492271421282e-4,10,0.2946081452376691,TRUE,FALSE
main_1972_start,minimal_full_panel,newey_west_lag1,ok,NA,1.2361352836087847e-6,8.180563543213117e-5,0,0.015110637269413132,FALSE,FALSE
main_1972_start,minimal_full_panel,driscoll_kraay_lag1,ok,NA,3.9657699265411965e-36,1.321021214860532e-30,0,3.002048628689045e-6,FALSE,FALSE
main_1972_start,minimal_full_panel,conley_250km,ok,NA,8.355755626332011e-8,2.9057729095498643e-4,0,2.875570764277794e-4,FALSE,FALSE
main_1972_start,minimal_full_panel,conley_500km,repair_required,Unrepaired VCOV is not positive semidefinite.,-5.72335508018277e-6,4.676377169886359e-4,2,0.012238865412820954,TRUE,FALSE
main_1972_start,minimal_full_panel,conley_750km,repair_required,Unrepaired VCOV is not positive semidefinite.,-4.1251075264639615e-6,5.329964096642751e-4,4,0.007739465879446153,TRUE,FALSE
main_1972_start,minimal_full_panel,conley_1000km,repair_required,Unrepaired VCOV is not positive semidefinite.,-7.274030415417637e-6,6.206098206847604e-4,4,0.011720778777544499,TRUE,FALSE
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,ok,NA,1.0680091937365188e-6,0.0013246329055796886,0,8.06268053011362e-4,FALSE,FALSE
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,ok,NA,3.35396664208919e-8,0.001628617835844978,0,2.0593945174062563e-5,FALSE,FALSE
main_1972_start,interacted_core_controls_diagnostic,cluster_state,ok,NA,2.5664023054936447e-20,0.004009205255342882,0,6.401274422339737e-18,FALSE,FALSE
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,repair_required,Unrepaired VCOV is not positive semidefinite.,-4.388585531965824e-4,9.483457494482324e-4,35,0.46276218715792167,TRUE,FALSE
main_1972_start,interacted_core_controls_diagnostic,newey_west_lag1,ok,NA,6.502183788238789e-7,0.0013830041998242446,0,4.7014924387540555e-4,FALSE,FALSE
main_1972_start,interacted_core_controls_diagnostic,driscoll_kraay_lag1,ok,NA,-3.0243507164643938e-43,1.5252144556878786e-27,17,1.9829019487626074e-16,FALSE,FALSE
main_1972_start,interacted_core_controls_diagnostic,conley_250km,repair_required,Unrepaired VCOV is not positive semidefinite.,-1.0622752407917747e-5,0.004612608306678152,7,0.0023029816757989367,TRUE,FALSE
main_1972_start,interacted_core_controls_diagnostic,conley_500km,repair_required,Unrepaired VCOV is not positive semidefinite.,-8.241394691606518e-5,0.006568966354528699,17,0.012545953574453664,TRUE,FALSE
main_1972_start,interacted_core_controls_diagnostic,conley_750km,repair_required,Unrepaired VCOV is not positive semidefinite.,-1.8486536400753284e-4,0.007140387403616343,21,0.02589010281345594,TRUE,FALSE
main_1972_start,interacted_core_controls_diagnostic,conley_1000km,repair_required,Unrepaired VCOV is not positive semidefinite.,-3.3361899752289685e-4,0.0056512965516215645,22,0.05903406315267057,TRUE,FALSE
main_1972_start,interacted_controls_full_panel,heteroskedastic,ok,NA,1.0399680870141613e-6,0.0019603033012897094,0,5.305138680988562e-4,FALSE,FALSE
main_1972_start,interacted_controls_full_panel,cluster_cz,ok,NA,1.9056625032217255e-8,0.0024292171998213856,0,7.844759634345765e-6,FALSE,FALSE
main_1972_start,interacted_controls_full_panel,cluster_state,ok,NA,-5.868345505753117e-19,0.004290609152250118,18,1.3677184981241158e-16,FALSE,FALSE
main_1972_start,interacted_controls_full_panel,cluster_cz_year,repair_required,Unrepaired VCOV is not positive semidefinite.,-6.600561737295544e-4,0.0016240625743121958,63,0.40642287074997324,TRUE,FALSE
main_1972_start,interacted_controls_full_panel,newey_west_lag1,ok,NA,5.811090828424457e-7,0.0021116753993381107,0,2.751886407468639e-4,FALSE,FALSE
main_1972_start,interacted_controls_full_panel,driscoll_kraay_lag1,ok,NA,-1.1343548335350438e-41,2.305012155645687e-26,35,4.921253151557827e-16,FALSE,FALSE
main_1972_start,interacted_controls_full_panel,conley_250km,repair_required,Unrepaired VCOV is not positive semidefinite.,-9.728338802727356e-5,0.00662210628690621,23,0.014690701691036057,TRUE,FALSE
